Fecha,Tiempo,Temp,humRel,tempApte,tempAmbte,humRelAmbte,tempApteAmbte
2021-08-21,1900-01-01 14:00:00,32.8,47,36.6,28.8,33,29.1
2021-08-21,1900-01-01 15:00:00,33.3,46,37.1,28.8,36,29.5
2021-08-21,1900-01-01 16:00:00,33.5,46,37.4,28.9,35,29.5
2021-08-21,1900-01-01 17:00:00,33.8,49,38.5,28.5,36,29.1
2021-08-21,1900-01-01 18:00:00,33.8,51,38.8,27.5,40,28.4
2021-08-21,1900-01-01 19:00:00,33.3,55,38.7,26.0,45,27.0
2021-08-21,1900-01-01 20:00:00,32.9,60,39.0,23.4,55,24.7
2021-08-21,1900-01-01 21:00:00,32.5,61,38.6,22.2,64,23.9
2021-08-21,1900-01-01 22:00:00,32.2,67,39.1,21.5,70,23.5
2021-08-21,1900-01-01 23:00:00,32.7,71,40.6,20.9,74,23.0
2021-08-22,1900-01-01 00:00:00,32.7,70,40.4,20.2,79,22.5
2021-08-22,1900-01-01 01:00:00,34.0,78,44.2,19.5,86,22.0
2021-08-22,1900-01-01 02:00:00,33.8,73,42.8,18.8,92,21.5
2021-08-22,1900-01-01 03:00:00,33.3,78,42.9,18.6,93,21.2
2021-08-22,1900-01-01 04:00:00,32.8,82,42.7,17.9,91,20.1
2021-08-22,1900-01-01 05:00:00,32.5,81,42.1,17.5,92,19.7
2021-08-22,1900-01-01 06:00:00,32.3,78,41.2,17.3,93,19.5
2021-08-22,1900-01-01 07:00:00,32.3,73,40.4,17.7,91,19.9
2021-08-22,1900-01-01 08:00:00,31.8,76,39.9,20.7,73,22.7
2021-08-22,1900-01-01 09:00:00,32.0,75,40.1,23.5,59,25.2
2021-08-22,1900-01-01 10:00:00,32.9,81,42.8,25.5,49,26.8
2021-08-22,1900-01-01 11:00:00,32.4,88,43.0,27.1,42,28.1
2021-08-22,1900-01-01 12:00:00,32.2,91,43.1,28.3,37,29.0
2021-08-22,1900-01-01 13:00:00,32.2,93,43.5,29.2,38,30.3
2021-08-22,1900-01-01 14:00:00,32.7,93,44.4,29.5,37,30.5
2021-08-22,1900-01-01 15:00:00,31.8,89,42.0,29.5,37,30.5
2021-08-22,1900-01-01 16:00:00,32.3,89,42.9,29.3,37,30.2
2021-08-22,1900-01-01 17:00:00,32.4,88,42.9,28.7,39,29.8
2021-08-22,1900-01-01 18:00:00,32.9,90,44.2,27.7,41,28.7
2021-08-22,1900-01-01 19:00:00,32.2,92,43.4,26.2,47,27.4
2021-08-22,1900-01-01 20:00:00,31.8,94,42.9,23.6,57,25.2
2021-08-22,1900-01-01 21:00:00,32.0,95,43.5,22.6,63,24.3
2021-08-22,1900-01-01 22:00:00,31.4,95,42.3,22.1,65,23.8
2021-08-22,1900-01-01 23:00:00,31.2,93,41.6,21.4,67,23.1
2021-08-23,1900-01-01 00:00:00,31.0,90,40.8,20.7,72,22.6
2021-08-23,1900-01-01 01:00:00,31.3,92,41.6,20.1,77,22.1
2021-08-23,1900-01-01 02:00:00,31.5,88,41.3,19.3,82,21.5
2021-08-23,1900-01-01 03:00:00,32.2,94,43.6,18.7,88,21.0
2021-08-23,1900-01-01 04:00:00,31.9,94,43.0,18.2,92,20.6
2021-08-23,1900-01-01 05:00:00,32.0,93,43.1,18.1,93,20.6
2021-08-23,1900-01-01 06:00:00,32.8,84,43.0,18.0,93,20.4
2021-08-23,1900-01-01 07:00:00,32.4,85,42.4,18.4,90,20.7
2021-08-23,1900-01-01 08:00:00,32.0,87,42.1,21.3,74,23.6
2021-08-23,1900-01-01 09:00:00,32.7,84,42.8,24.0,62,26.2
2021-08-23,1900-01-01 10:00:00,32.9,91,44.4,26.0,54,28.0
2021-08-23,1900-01-01 11:00:00,32.9,92,44.6,27.2,48,28.9
2021-08-23,1900-01-01 12:00:00,32.5,94,44.1,28.0,44,29.5
2021-08-23,1900-01-01 13:00:00,32.6,92,44.0,29.0,41,30.5
2021-08-23,1900-01-01 14:00:00,32.0,89,42.5,29.4,39,30.7
2021-08-23,1900-01-01 15:00:00,33.0,91,44.5,29.8,39,31.2
2021-08-23,1900-01-01 16:00:00,33.1,91,44.8,29.6,38,30.9
2021-08-23,1900-01-01 17:00:00,33.2,92,45.1,29.0,39,30.2
2021-08-23,1900-01-01 18:00:00,33.0,93,44.9,27.9,43,29.3
2021-08-23,1900-01-01 19:00:00,32.6,93,44.2,26.2,50,27.9
2021-08-23,1900-01-01 20:00:00,32.8,93,44.5,23.8,61,25.7
2021-08-23,1900-01-01 21:00:00,32.5,92,43.9,22.8,67,25.0
2021-08-23,1900-01-01 22:00:00,34.4,93,47.6,22.3,70,24.6
2021-08-23,1900-01-01 23:00:00,32.0,93,43.0,21.6,74,24.0
